rental_id,bike_id,startstationid,endstationid,start_date,end_date
90762289,9204,397,231,2019-09-01 00:00:00+00,2019-09-01 00:22:00+00
90762290,11786,486,33,2019-09-01 00:00:00+00,2019-09-01 00:11:00+00
90762291,5890,486,33,2019-09-01 00:00:00+00,2019-09-01 00:11:00+00
90762292,9836,129,57,2019-09-01 00:00:00+00,2019-09-01 00:15:00+00
90762294,15849,393,85,2019-09-01 00:00:00+00,2019-09-01 00:14:00+00
90762295,14562,7,110,2019-09-01 00:00:00+00,2019-09-01 00:10:00+00
90762296,4556,115,500,2019-09-01 00:00:00+00,2019-09-01 00:09:00+00
90762297,2801,31,31,2019-09-01 00:00:00+00,2019-09-01 00:11:00+00
90762298,7315,115,500,2019-09-01 00:00:00+00,2019-09-01 00:09:00+00
90762299,9996,403,114,2019-09-01 00:00:00+00,2019-09-01 00:09:00+00
90762300,16547,397,231,2019-09-01 00:01:00+00,2019-09-01 00:22:00+00
90762301,8419,403,114,2019-09-01 00:01:00+00,2019-09-01 00:09:00+00
90762302,8407,821,183,2019-09-01 00:01:00+00,2019-09-01 00:06:00+00
90762303,3717,508,445,2019-09-01 00:01:00+00,2019-09-01 00:09:00+00
90762304,13838,386,49,2019-09-01 00:01:00+00,2019-09-01 00:11:00+00
90762305,14892,409,830,2019-09-01 00:01:00+00,2019-09-01 00:14:00+00
90762306,4484,206,512,2019-09-01 00:01:00+00,2019-09-01 00:10:00+00
90762307,11310,380,163,2019-09-01 00:01:00+00,2019-09-01 00:15:00+00
90762308,3216,440,178,2019-09-01 00:01:00+00,2019-09-01 00:12:00+00
90762309,11129,487,471,2019-09-01 00:01:00+00,2019-09-01 00:18:00+00
90762310,15125,695,699,2019-09-01 00:02:00+00,2019-09-01 00:15:00+00
90762311,16797,762,431,2019-09-01 00:02:00+00,2019-09-01 00:31:00+00
90762312,14025,392,428,2019-09-01 00:04:00+00,2019-09-01 00:06:00+00
90762313,8232,311,58,2019-09-01 00:05:00+00,2019-09-01 00:19:00+00
90762314,12347,135,351,2019-09-01 00:04:00+00,2019-09-01 00:10:00+00
90762315,3806,196,310,2019-09-01 00:04:00+00,2019-09-01 00:15:00+00
90762316,2155,189,93,2019-09-01 00:05:00+00,2019-09-01 00:07:00+00
90762317,12845,111,635,2019-09-01 00:04:00+00,2019-09-01 00:28:00+00
90762318,1659,479,459,2019-09-01 00:04:00+00,2019-09-01 00:10:00+00
90762319,7565,278,645,2019-09-01 00:04:00+00,2019-09-01 00:18:00+00
90762320,12608,61,213,2019-09-01 00:03:00+00,2019-09-01 00:25:00+00
90762321,2865,480,522,2019-09-01 00:04:00+00,2019-09-01 00:15:00+00
90762322,14962,81,28,2019-09-01 00:05:00+00,2019-09-01 00:07:00+00
90762323,6472,98,540,2019-09-01 00:05:00+00,2019-09-01 00:09:00+00
90762324,4195,27,486,2019-09-01 00:05:00+00,2019-09-01 00:20:00+00
90762325,4297,665,596,2019-09-01 00:05:00+00,2019-09-01 00:13:00+00
90762327,16004,322,574,2019-09-01 00:05:00+00,2019-09-01 00:15:00+00
90762328,12988,826,225,2019-09-01 00:05:00+00,2019-09-01 00:27:00+00
90762329,3553,206,576,2019-09-01 00:05:00+00,2019-09-01 00:23:00+00
90762330,8126,322,574,2019-09-01 00:05:00+00,2019-09-01 00:15:00+00
90762331,14110,483,490,2019-09-01 00:05:00+00,2019-09-01 00:17:00+00
90762332,8515,192,625,2019-09-01 00:05:00+00,2019-09-01 00:22:00+00
90762333,8312,325,197,2019-09-01 00:05:00+00,2019-09-01 01:57:00+00
90762334,11833,325,197,2019-09-01 00:06:00+00,2019-09-01 01:57:00+00
90762335,16642,190,426,2019-09-01 00:06:00+00,2019-09-01 00:10:00+00
90762336,14194,511,469,2019-09-01 00:06:00+00,2019-09-01 00:16:00+00
90762337,1975,471,719,2019-09-01 00:06:00+00,2019-09-01 01:09:00+00
90762338,366,591,598,2019-09-01 00:06:00+00,2019-09-01 00:24:00+00
90762339,10888,577,578,2019-09-01 00:06:00+00,2019-09-01 00:24:00+00
90762340,8919,325,197,2019-09-01 00:06:00+00,2019-09-01 01:57:00+00
90762341,5997,322,574,2019-09-01 00:06:00+00,2019-09-01 00:15:00+00
90762342,10091,325,197,2019-09-01 00:06:00+00,2019-09-01 01:57:00+00
90762343,6830,699,517,2019-09-01 00:06:00+00,2019-09-01 00:21:00+00
90762344,8233,322,574,2019-09-01 00:06:00+00,2019-09-01 00:15:00+00
90762345,495,439,717,2019-09-01 00:06:00+00,2019-09-01 00:31:00+00
90762346,16442,591,598,2019-09-01 00:06:00+00,2019-09-01 00:25:00+00
90762347,15711,572,227,2019-09-01 00:07:00+00,2019-09-01 00:21:00+00
90762349,12507,512,401,2019-09-01 00:07:00+00,2019-09-01 00:12:00+00
90762351,6432,47,535,2019-09-01 00:07:00+00,2019-09-01 00:19:00+00
