"id","latitude","longitude","name","docks"
1,"51.529163","-0.109971","River Street , Clerkenwell",19
10,"51.505974","-0.092754","Park Street, Bankside",18
100,"51.490436","-0.122807","Albert Embankment, Vauxhall",24
101,"51.511553","-0.09294","Queen Street 1, Bank",22
102,"51.513407","-0.076793","Jewry Street, Aldgate",17
103,"51.504724","-0.192539","Vicarage Gate, Kensington",17
104,"51.511595","-0.077121","Crosswall, Tower",33
105,"51.51553","-0.190241","Westbourne Grove, Bayswater",26
106,"51.514105","-0.147302","Woodstock Street, Mayfair",21
107,"51.526008","-0.096318","Finsbury Leisure Centre, St. Luke's",20
108,"51.498126","-0.132102","Abbey Orchard Street, Westminster",29
109,"51.515631","-0.132329","Soho Square , Soho",55
11,"51.523951","-0.122502","Brunswick Square, Bloomsbury",24
110,"51.533043","-0.172529","Wellington Road, St. John's Wood",17
111,"51.510017","-0.157276","Park Lane , Hyde Park",27
112,"51.51581","-0.10527","Stonecutter Street, Holborn",20
113,"51.496463","-0.183289","Gloucester Road (Central), South Kensington",19
114,"51.524517","-0.158964","Park Road (Baker Street), The Regent's Park",22
115,"51.514234","-0.073538","Braham Street, Aldgate",33
116,"51.5145","-0.141424","Little Argyll Street, West End",21
117,"51.492881","-0.114934","Lollard Street, Vauxhall",25
118,"51.495827","-0.135478","Rochester Row, Westminster",13
119,"51.525893","-0.090848","Bath Street, St. Luke's",18
12,"51.521681","-0.130432","Malet Street, Bloomsbury",48
120,"51.515735","-0.093081","The Guildhall, Guildhall",17
121,"51.518913","-0.156167","Baker Street, Marylebone",22
122,"51.521114","-0.07887","Norton Folgate, Liverpool Street",23
123,"51.52836","-0.104725","St. John Street, Finsbury",18
124,"51.496545","-0.150905","Eaton Square, Belgravia",20
125,"51.500695","-0.094524","Borough High Street, The Borough",21
126,"51.517821","-0.096497","Museum of London, Barbican",51
127,"51.517008","-0.093885","Wood Street, Guildhall",16
128,"51.495362","-0.185297","Emperor's Gate, South Kensington",22
129,"51.511897","-0.137044","Golden Square, Soho",18
13,"51.519915","-0.13604","Scala Street, Fitzrovia",19
130,"51.509506","-0.075459","Tower Gardens , Tower",22
131,"51.533005","-0.136793","Eversholt Street , Camden Town",16
132,"51.523648","-0.074755","Bethnal Green Road, Shoreditch",38
133,"51.501365","-0.191462","Derry Street, Kensington",17
134,"51.504904","-0.06797","Wapping High Street, Wapping",20
135,"51.52326","-0.104709","Clerkenwell Green, Clerkenwell",21
136,"51.511962","-0.097442","Queen Victoria Street, St. Paul's",31
138,"51.512276","-0.157437","Green Street, Mayfair",19
139,"51.494881","-0.117975","Lambeth Road, Vauxhall",16
14,"51.529944","-0.123617","Belgrove Street , King's Cross",44
140,"51.520963","-0.085634","Finsbury Square , Moorgate",33
141,"51.515308","-0.147204","Chapel Place, Marylebone",28
142,"51.493725","-0.198287","West Cromwell Road, Earl's Court",24
143,"51.496887","-0.161204","Pont Street, Knightsbridge",24
144,"51.48894","-0.111436","Kennington Cross, Kennington",47
145,"51.500744","-0.202759","Ilchester Place, Kensington",24
146,"51.488365","-0.129362","Vauxhall Bridge , Pimlico",33
148,"51.492111","-0.138365","Tachbrook Street, Victoria",16
149,"51.484789","-0.110683","Kennington Road Post Office, Oval",17
15,"51.517727","-0.127854","Great Russell Street, Bloomsbury",26
150,"51.497056","-0.168917","Holy Trinity Brompton, Knightsbridge",27
151,"51.512137","-0.201555","Chepstow Villas, Notting Hill",26
152,"51.49217","-0.101537","Hampton Street, Walworth",21
153,"51.511933","-0.174411","Bayswater Road, Hyde Park",27
154,"51.503792","-0.112824","Waterloo Station 3, Waterloo",29
155,"51.495867","-0.191934","Lexham Gardens, Kensington",19
156,"51.494436","-0.092921","New Kent Road, The Borough",33
157,"51.500398","-0.193068","Wright's Lane, Kensington",37
158,"51.490854","-0.19617","Trebovir Road, Earl's Court",17
159,"51.51462","-0.137841","Great Marlborough Street, Soho",39
16,"51.526358","-0.125979","Cartwright Gardens , Bloomsbury",22
160,"51.506633","-0.131774","Waterloo Place, St. James's",19
161,"51.492346","-0.141334","Guildhouse Street, Victoria",15
162,"51.517607","-0.121328","Southampton Place, Holborn",20
163,"51.493185","-0.167895","Sloane Avenue, Knightsbridge",27
164,"51.515607","-0.183119","Cleveland Gardens, Bayswater",16
165,"51.517932","-0.183717","Orsett Terrace, Bayswater",15
166,"51.501855","-0.159237","Seville Street, Knightsbridge",27
167,"51.493951","-0.147624","Eccleston Place, Victoria",19
168,"51.500401","-0.195456","Argyll Road, Kensington",19
169,"51.514746","-0.165164","Porchester Place, Paddington",18
17,"51.521661","-0.109006","Hatton Wall, Holborn",26
170,"51.527843","-0.108068","Hardwick Street, Clerkenwell",30
171,"51.491616","-0.186754","Collingham Gardens, Earl's Court",14
172,"51.491212","-0.173716","Sumner Place, South Kensington",19
173,"51.50486","-0.113001","Waterloo Road, South Bank",15
174,"51.512529","-0.115163","Strand, Strand",35
175,"51.521668","-0.079609","Worship Street, Shoreditch",51
176,"51.517919","-0.188099","Gloucester Terrace, Bayswater",23
177,"51.496161","-0.140948","Ashley Place, Victoria",24
178,"51.489856","-0.141924","Warwick Square, Pimlico",19
18,"51.514771","-0.12222","Drury Lane, Covent Garden",27
180,"51.512912","-0.153645","North Audley Street, Mayfair",17
181,"51.499412","-0.152318","Belgrave Square, Belgravia",21
182,"51.522029","-0.165843","Bell Street , Marylebone",18
183,"51.482362","-0.136124","Riverlight North, Nine Elms",24
